dummy 	 x 	 y 	 A 
som97 	 -70 	 -70 	 1.000000 
som97 	 -70 	 -69 	 1.000000 
som97 	 -70 	 -68 	 1.000000 
som97 	 -70 	 -67 	 1.000000 
som97 	 -70 	 -66 	 1.000000 
som97 	 -70 	 -65 	 1.000000 
som97 	 -70 	 -64 	 1.000000 
som97 	 -70 	 -63 	 1.000000 
som97 	 -70 	 -62 	 1.000000 
som97 	 -70 	 -61 	 1.000000 
som97 	 -70 	 -60 	 1.000000 
som97 	 -70 	 -59 	 1.000000 
som97 	 -70 	 -58 	 1.000000 
som97 	 -70 	 -57 	 1.000000 
som97 	 -70 	 -56 	 1.000000 
som97 	 -70 	 -55 	 1.000000 
som97 	 -70 	 -54 	 1.000000 
som97 	 -70 	 -53 	 1.000000 
som97 	 -70 	 -52 	 1.000000 
som97 	 -70 	 -51 	 1.000000 
som97 	 -70 	 -50 	 1.000000 
som97 	 -70 	 -49 	 1.000000 
som97 	 -70 	 -48 	 1.000000 
som97 	 -70 	 -47 	 1.000000 
som97 	 -70 	 -46 	 1.000000 
som97 	 -70 	 -45 	 1.000000 
som97 	 -70 	 -44 	 1.000000 
som97 	 -70 	 -43 	 1.000000 
som97 	 -70 	 -42 	 1.000000 
som97 	 -70 	 -41 	 1.000000 
som97 	 -70 	 -40 	 1.000000 
som97 	 -70 	 -39 	 1.000000 
som97 	 -70 	 -38 	 1.000000 
som97 	 -70 	 -37 	 1.000000 
som97 	 -70 	 -36 	 1.000000 
som97 	 -70 	 -35 	 1.000000 
som97 	 -70 	 -34 	 1.000000 
som97 	 -70 	 -33 	 1.000000 
som97 	 -70 	 -32 	 1.000000 
som97 	 -70 	 -31 	 1.000000 
som97 	 -70 	 -30 	 1.000000 
som97 	 -70 	 -29 	 1.000000 
som97 	 -70 	 -28 	 1.051757 
som97 	 -70 	 -27 	 1.051757 
som97 	 -70 	 -26 	 1.051757 
som97 	 -70 	 -25 	 1.051757 
som97 	 -70 	 -24 	 1.051757 
som97 	 -70 	 -23 	 1.051757 
som97 	 -70 	 -22 	 1.051757 
som97 	 -70 	 -21 	 1.051757 
som97 	 -70 	 -20 	 1.051757 
som97 	 -70 	 -19 	 1.051757 
som97 	 -70 	 -18 	 1.051757 
som97 	 -70 	 -17 	 1.051757 
som97 	 -70 	 -16 	 1.051757 
som97 	 -70 	 -15 	 1.051757 
som97 	 -70 	 -14 	 1.051757 
som97 	 -70 	 -13 	 1.051757 
som97 	 -70 	 -12 	 1.051757 
som97 	 -70 	 -11 	 1.051757 
som97 	 -70 	 -10 	 1.051757 
som97 	 -70 	 -9 	 1.051757 
som97 	 -70 	 -8 	 1.051757 
som97 	 -70 	 -7 	 1.051757 
som97 	 -70 	 -6 	 1.051757 
som97 	 -70 	 -5 	 1.051757 
som97 	 -70 	 -4 	 1.051757 
som97 	 -70 	 -3 	 1.051757 
som97 	 -70 	 -2 	 1.051757 
som97 	 -70 	 -1 	 1.051757 
som97 	 -70 	 0 	 1.051757 
som97 	 -70 	 1 	 1.051757 
som97 	 -70 	 2 	 1.051757 
som97 	 -70 	 3 	 1.051757 
som97 	 -70 	 4 	 1.051757 
som97 	 -70 	 5 	 1.051757 
som97 	 -70 	 6 	 1.051757 
som97 	 -70 	 7 	 1.051757 
som97 	 -70 	 8 	 1.051757 
som97 	 -70 	 9 	 1.051757 
som97 	 -70 	 10 	 1.051757 
som97 	 -70 	 11 	 1.051757 
som97 	 -70 	 12 	 1.051757 
som97 	 -70 	 13 	 1.051757 
som97 	 -70 	 14 	 1.051757 
som97 	 -70 	 15 	 1.051757 
som97 	 -70 	 16 	 1.051757 
som97 	 -70 	 17 	 1.051757 
som97 	 -70 	 18 	 1.051757 
som97 	 -70 	 19 	 1.051757 
som97 	 -70 	 20 	 1.051757 
som97 	 -70 	 21 	 1.051757 
som97 	 -70 	 22 	 1.051757 
som97 	 -70 	 23 	 1.051757 
som97 	 -70 	 24 	 1.051757 
som97 	 -70 	 25 	 1.051757 
som97 	 -70 	 26 	 1.051757 
som97 	 -70 	 27 	 1.051757 
som97 	 -70 	 28 	 1.051757 
som97 	 -70 	 29 	 1.051757 
som97 	 -70 	 30 	 1.051757 
som97 	 -70 	 31 	 1.051757 
som97 	 -70 	 32 	 1.051757 
som97 	 -70 	 33 	 1.051757 
som97 	 -70 	 34 	 1.051757 
som97 	 -70 	 35 	 1.051757 
som97 	 -70 	 36 	 1.051757 
som97 	 -70 	 37 	 1.051757 
som97 	 -70 	 38 	 1.051757 
som97 	 -70 	 39 	 1.051757 
